Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,94.40,94.66,93.94,94.11,1780400,87.4837
2014-12-05,93.04,94.52,93.04,94.39,2841900,87.7439
2014-12-04,93.69,94.53,91.81,92.56,3236200,86.0428
2014-12-03,94.08,94.48,93.74,93.90,2057000,87.2885
2014-12-02,94.83,95.15,93.59,93.80,2323500,87.1955
2014-12-01,94.17,94.74,93.60,94.53,1680500,87.8741
2014-11-28,96.49,96.63,94.06,95.16,3465300,88.4597
2014-11-27,95.99,96.63,95.70,96.40,1621300,89.6124
2014-11-26,95.77,95.95,95.03,95.93,2131900,89.1755
2014-11-25,94.30,95.59,94.14,95.23,2512200,88.5248
2014-11-24,94.15,94.83,93.72,94.30,2504100,87.6603
2014-11-21,91.35,94.30,91.22,93.98,5440700,87.3628
2014-11-20,91.00,91.26,89.93,90.89,1960100,84.4904
2014-11-19,90.90,91.51,90.65,90.97,1552500,84.5648
2014-11-18,89.06,91.03,88.95,90.96,2333400,84.5555
2014-11-17,87.42,89.14,87.33,88.92,1985900,82.6591
2014-11-14,88.36,88.97,87.69,88.50,1842400,82.2687
2014-11-13,88.43,88.98,87.51,88.16,1943000,81.9526
2014-11-12,88.60,88.90,87.57,87.89,2328600,81.7016
2014-11-11,88.41,89.20,88.41,88.98,2047900,82.7149
2014-11-10,86.90,88.65,86.64,88.58,2013500,82.343
2014-11-07,89.65,89.92,86.92,88.03,3572600,81.8318
2014-11-06,88.80,91.16,88.39,89.61,4519700,83.3005
2014-11-05,88.21,89.08,88.17,89.08,2691700,82.8078
2014-11-04,88.72,89.89,87.62,87.90,3548300,81.7109
2014-11-03,89.62,90.21,88.87,89.06,2229400,82.7892
2014-10-31,88.90,90.00,88.23,89.91,3599000,83.5794
2014-10-30,87.48,87.75,85.58,87.36,2560500,81.2089
2014-10-29,87.68,88.39,87.27,87.31,2096000,81.1625
2014-10-28,86.05,87.32,86.02,87.03,2004700,80.9022
2014-10-27,86.97,87.07,84.97,85.56,2433400,79.5357
2014-10-24,86.26,86.84,85.91,86.09,2661300,80.0284
2014-10-23,84.95,86.94,84.33,86.64,2663500,80.5396
2014-10-22,85.97,86.37,85.09,85.53,2942900,79.5078
2014-10-21,82.59,85.56,82.23,85.43,3297100,79.4148
2014-10-20,84.49,84.50,82.72,83.08,2480100,77.2303
2014-10-17,82.83,84.35,82.07,84.20,6321300,78.2714
2014-10-16,82.70,83.25,80.17,82.42,5452200,76.6168
2014-10-15,85.01,85.17,81.98,82.34,3925300,76.5424
2014-10-14,83.72,85.16,82.90,84.71,3068900,78.7455
2014-10-13,83.00,85.73,82.61,84.50,3782800,78.5503
2014-10-10,86.05,86.54,83.41,83.60,5973500,77.7137
2014-10-09,87.90,89.39,86.69,87.01,3938500,80.8836
2014-10-08,87.57,87.85,86.26,86.65,3357600,80.5489
2014-10-07,89.20,89.20,87.67,87.96,4152000,81.7667
2014-10-06,91.10,91.69,89.38,89.95,4981900,83.6166
2014-10-03,91.40,91.40,91.40,91.40,000,84.9645
2014-10-02,93.00,93.98,91.40,91.40,3025200,84.9645
2014-10-01,94.30,95.04,93.20,93.24,1688100,86.6749
2014-09-30,93.93,94.90,93.75,94.37,2245700,87.7254
2014-09-29,94.00,94.39,92.83,93.42,1642300,86.8422
2014-09-26,93.16,94.45,92.80,93.91,1978000,87.2977
2014-09-25,94.57,95.41,93.11,93.27,1984500,86.7028
2014-09-24,94.43,94.80,93.02,94.63,2378000,87.967
2014-09-23,94.96,95.00,94.01,94.28,2555100,87.6417
2014-09-22,95.50,96.77,95.39,95.97,1873600,89.2127
2014-09-19,98.29,98.99,96.24,96.40,6907200,89.6124
2014-09-18,97.20,97.96,96.91,97.82,3161900,90.9324
2014-09-17,97.85,98.28,97.70,98.24,1654100,91.3229
2014-09-16,97.19,97.69,96.87,97.69,1656900,90.8116
2014-09-15,96.84,97.68,96.57,97.38,1674600,90.5234
2014-09-12,97.48,97.50,96.44,97.09,1402200,90.2538
2014-09-11,97.91,98.29,96.95,97.54,1570600,90.6722
2014-09-10,97.70,98.08,97.20,97.70,1564300,90.8209
2014-09-09,98.50,98.73,98.01,98.06,1473900,91.1555
2014-09-08,98.65,98.81,97.63,98.04,1235600,91.137
2014-09-05,98.17,98.80,97.53,98.42,1908900,91.4902
2014-09-04,96.77,98.84,96.15,98.59,2790000,91.6482
2014-09-03,96.55,98.00,96.50,97.15,2492100,90.3096
2014-09-02,95.97,96.65,95.63,96.09,1223600,89.3242
2014-09-01,95.30,95.77,94.85,95.58,1014000,88.8502
2014-08-29,95.20,95.87,94.17,95.34,2035500,88.6271
2014-08-28,95.91,96.15,94.47,95.23,1982900,88.5248
2014-08-27,96.45,96.77,95.96,96.39,1355600,89.6031
2014-08-26,95.81,96.84,95.41,96.84,1691200,90.0214
2014-08-25,94.95,96.14,94.68,96.14,1777700,89.3707
2014-08-22,94.70,94.97,93.14,93.69,1973500,87.0932
2014-08-21,93.27,94.88,92.52,94.88,2053800,88.1994
2014-08-20,94.15,94.15,92.61,92.98,1877300,86.4332
2014-08-19,92.68,93.28,92.51,92.79,1321000,86.2566
2014-08-18,91.76,92.50,91.46,92.08,1507100,85.5966
2014-08-15,92.09,93.11,90.16,90.66,3272400,84.2766
2014-08-14,91.19,92.34,90.47,91.63,2278600,85.1783
2014-08-13,89.81,91.04,89.53,90.92,1714900,84.5183
2014-08-12,90.19,90.59,89.02,89.20,1815200,82.9194
2014-08-11,89.68,90.71,89.38,90.47,1976000,84.10
2014-08-08,88.21,89.43,87.77,88.83,2209100,82.5754
2014-08-07,90.16,90.80,89.19,89.22,2399500,82.938
2014-08-06,89.51,90.60,88.81,90.23,2397900,83.8769
2014-08-05,89.98,90.58,89.73,90.12,1920100,83.7746
2014-08-04,90.79,90.84,89.55,89.62,2162400,83.3098
2014-08-01,92.75,93.14,89.72,90.12,4114200,83.7746
2014-07-31,93.17,94.94,92.40,92.40,3748500,85.8941
2014-07-30,93.01,93.52,92.35,92.70,1833300,86.1729
2014-07-29,93.05,94.16,92.73,93.55,1218700,86.9631
2014-07-28,93.45,93.68,92.43,93.16,1605400,86.6006
2014-07-25,94.18,94.58,92.90,93.03,1679900,86.4797
2014-07-24,94.19,95.06,93.41,94.45,1640700,87.7997
2014-07-23,93.20,94.11,92.98,93.94,1419200,87.3256
2014-07-22,92.31,93.82,92.05,93.54,1970100,86.9538
2014-07-21,92.33,92.44,91.12,91.53,1670200,85.0853
2014-07-18,92.45,92.76,91.89,92.49,3445700,85.9777
2014-07-17,93.51,93.92,92.50,92.90,1750200,86.3589
2014-07-16,92.60,94.34,92.57,94.30,1784300,87.6603
2014-07-15,93.55,93.63,92.24,92.31,1467300,85.8104
2014-07-14,92.91,93.65,92.61,93.59,1177600,87.0003
2014-07-11,92.54,93.30,91.72,92.51,1963100,85.9963
2014-07-10,94.39,94.40,92.41,92.65,2233500,86.1265
2014-07-09,94.00,94.65,93.93,94.44,1395500,87.7904
2014-07-08,96.00,96.07,94.00,94.00,1915700,87.3814
2014-07-07,97.35,97.43,95.88,95.91,1471400,89.1569
2014-07-04,97.67,98.04,97.37,97.43,1046500,90.5699
2014-07-03,96.30,97.70,95.89,97.67,1695700,90.793
2014-07-02,96.60,96.85,96.19,96.50,1379700,89.7054
2014-07-01,96.50,96.70,95.64,96.54,1830500,89.7426
2014-06-30,96.92,97.32,96.16,96.45,2274900,89.6589
2014-06-27,96.50,96.99,95.72,95.97,2119600,89.2127
2014-06-26,97.97,97.97,96.02,96.50,2125400,89.7054
2014-06-25,98.07,98.16,97.39,97.60,1999900,90.7279
2014-06-24,98.89,98.91,98.27,98.52,1420900,91.5831
2014-06-23,99.94,100.65,98.57,98.57,2181000,91.6296
2014-06-20,99.58,100.50,99.53,100.25,5872500,93.1913
2014-06-19,99.78,99.94,99.38,99.94,2259500,92.9032
2014-06-18,99.20,99.61,98.86,98.86,1389400,91.8992
2014-06-17,99.00,99.76,98.51,99.14,1724300,92.1595
2014-06-16,98.85,99.50,98.73,98.82,1409400,91.862
2014-06-13,98.97,99.28,97.91,98.80,1706000,91.8434
2014-06-12,98.67,99.30,98.54,98.79,1614100,91.8341
2014-06-11,99.57,99.62,98.24,98.92,2045800,91.955
2014-06-10,99.25,99.95,99.05,99.88,1641500,92.8474
2014-06-09,99.44,99.87,99.24,99.56,1026900,92.5499
2014-06-06,98.71,99.23,98.08,99.09,1773800,92.113
2014-06-05,97.79,98.97,97.40,98.63,2305500,91.6854
2014-06-04,96.75,97.94,96.61,97.94,1635100,91.044
2014-06-03,97.75,98.04,97.24,97.55,1280000,90.6815
2014-06-02,97.91,98.40,97.65,97.96,1350200,91.0626
2014-05-30,97.64,98.36,97.27,97.46,1722800,90.5978
2014-05-29,98.02,98.38,97.48,97.80,1136300,90.9139
2014-05-28,97.23,98.02,97.23,98.02,1567000,91.1184
2014-05-27,97.50,97.92,96.96,97.45,1997700,90.5885
2014-05-26,96.97,97.57,96.59,97.57,1397400,90.70
2014-05-23,95.02,96.57,94.81,96.31,1976500,89.5288
2014-05-22,94.83,95.45,94.34,95.19,1925300,88.4876
2014-05-21,94.17,94.85,93.89,94.43,2984800,87.7811
2014-05-20,95.60,95.71,94.49,94.50,2697300,87.8462
2014-05-19,95.75,96.19,95.04,95.71,2244300,88.971
2014-05-16,95.90,96.59,95.56,96.13,2682200,89.3614
2014-05-15,97.65,98.58,96.43,96.44,3428700,89.6496
2014-05-14,99.50,99.51,98.04,98.58,2075200,91.6389
2014-05-13,99.30,99.94,99.10,99.82,2744500,92.7916
2014-05-12,97.20,98.67,96.95,98.67,2045400,91.7226
2014-05-09,96.60,97.30,96.50,96.67,1668900,89.8634
2014-05-08,96.00,96.83,94.93,96.83,2434800,90.0121
2014-05-07,93.84,97.18,92.75,95.84,3884500,89.0918
2014-05-06,94.95,95.26,93.14,93.91,2110300,87.2977
2014-05-05,93.89,94.49,92.55,94.25,1843900,87.6138
2014-05-02,93.53,94.85,93.50,94.09,1975900,87.4651
2014-05-01,95.00,95.00,95.00,95.00,000,88.311
2014-04-30,93.55,95.66,93.30,95.00,2576700,88.311
2014-04-29,93.50,94.44,92.64,94.15,2583700,87.5208
2014-04-28,95.00,95.21,93.25,93.59,3405800,87.0003
2014-04-25,96.81,97.48,95.78,95.97,1662000,89.2127
2014-04-24,98.01,98.62,95.77,97.49,2529700,90.6257
2014-04-23,98.92,98.92,97.43,97.46,1650100,90.5978
2014-04-22,97.23,99.03,97.06,99.03,1616500,92.0572
2014-04-21,97.42,97.42,97.42,97.42,000,90.5606
2014-04-18,97.42,97.42,97.42,97.42,000,90.5606
2014-04-17,96.82,97.75,96.19,97.42,1684000,90.5606
2014-04-16,95.69,96.83,95.41,96.63,1742700,89.8262
2014-04-15,95.75,96.51,94.88,94.89,2077600,88.2087
2014-04-14,95.63,96.50,94.76,96.35,1656300,89.5659
2014-04-11,96.16,96.82,95.61,96.53,2186100,89.7333
2014-04-10,98.69,98.77,96.94,97.26,1730100,90.4119
2014-04-09,98.22,98.57,97.71,98.17,1323300,91.2578
2014-04-08,98.30,98.35,96.32,98.03,2395300,91.1277
2014-04-07,98.46,99.38,97.34,97.34,2219200,90.4862
2014-04-04,99.20,99.90,99.04,99.84,1871300,92.8102
2014-04-03,98.67,99.94,98.62,98.98,2218100,92.0108
2014-04-02,98.06,98.60,97.77,98.38,1227900,91.453
2014-04-01,98.29,98.63,97.75,98.08,1367300,91.1741
2014-03-31,98.99,99.25,97.46,97.70,1722900,90.8209
2014-03-28,97.82,98.97,97.80,98.97,1790400,92.0015
2014-03-27,97.39,98.39,96.72,97.58,1488500,90.7093
2014-03-26,97.47,98.69,97.25,97.68,2017700,90.8023
2014-03-25,95.70,97.24,95.59,97.15,1873000,90.3096
2014-03-24,97.19,97.61,95.30,95.36,2344400,88.6457
2014-03-21,96.45,97.81,96.18,97.75,9473600,90.8674
2014-03-20,95.20,96.35,94.50,96.35,3806300,89.5659
2014-03-19,95.02,95.31,93.88,94.31,2236000,87.6696
2014-03-18,93.49,95.05,92.30,94.84,2838000,88.1623
2014-03-17,93.00,94.22,92.70,93.69,3573700,87.0932
2014-03-14,88.67,90.87,87.01,90.62,4165600,84.2394
2014-03-13,91.05,91.80,89.27,89.30,2591900,83.0123
2014-03-12,92.41,92.55,90.51,90.95,2420100,84.5462
2014-03-11,92.18,93.98,91.86,92.97,1948000,86.4239
2014-03-10,92.32,93.26,91.46,91.90,2141800,85.4293
2014-03-07,95.25,95.55,92.79,92.80,2920500,86.2659
2014-03-06,96.04,96.20,95.05,95.41,1577000,88.6921
2014-03-05,95.30,95.75,94.80,95.56,1634600,88.8316
2014-03-04,93.84,95.53,93.34,95.53,2764600,88.8037
2014-03-03,94.83,95.00,92.97,92.97,3274000,86.4239
